year,value
1970,680000.0
1971,2310000.0
1972,30000.0
1973,700000.0
1974,130000.0
1975,8000000.0
1976,61000000.0
1977,104777603.416204
1978,318166137.202863
1979,1216285716.02327
1980,548285715.06898
1981,752571429.646531
1982,293571428.990816
1983,490000000.7
1984,729142857.576871
1985,1177571428.57143
1986,1217428571.42857
1987,947714285.714286
1988,1190000000.0
1989,1250181818.18182
1990,734000000.0
1991,253000000.0
1992,459000000.0
1993,493000000.0
1994,1256000000.0
1995,598000000.0
1996,636000000.0
1997,890550000.0
1998,1076000000.0
1999,1065300000.0
2000,1235000000.0
2001,509900000.0
2002,646900000.0
2003,237400000.0
2004,1253300000.0
2005,5375600000.0
2006,10042800000.0
2007,11578100000.0
2008,9494600000.0
2009,6711600000.0
2010,6385600000.0
2011,-482700000.0
2012,2797700000.0
2013,4192200000.0
2014,4612200000.0
2015,6925200000.0
2016,8106800000.0
2017,7408700000.0
2018,8141300000.0
2019,9010100000.0
2020,5851800000.0
2021,5122300000.0
2022,11399900000.0
2023,9840600000.0
2024,46578000000.0
