year,value
1960,266967600.0
1961,203625200.0
1962,223227760.0
1963,216277440.0
1964,223742480.0
1965,193777600.0
1966,156816540.0
1967,196019200.0
1968,187040600.0
1969,145124800.0
1970,165038580.0
1971,163240183.243181
1972,209341387.161939
1973,532593785.436518
1974,705412654.534801
1975,535004016.970939
1976,567297179.704645
1977,831886353.001224
1978,1050567897.61415
1979,1795125066.24924
1980,2479664000.0
1981,1682922621.2587
1982,1809313172.89459
1983,1698907670.24247
1984,1485991444.00965
1985,1587362857.64499
1986,1779681031.96702
1987,2555643305.43489
1988,2261158622.65344
1989,2495363416.40602
1990,3619931742.61285
1991,6185285500.81963
1992,11620220747.8378
1993,13854276438.8218
1994,14412967684.9265
1995,17121798673.9484
1996,18296476060.6246
1997,19370588197.9807
1998,18823907998.2298
1999,15190021676.7155
2000,13785040867.624
2001,13598234040.4968
2002,14076054422.9979
2003,14603576021.3741
2004,15338514716.8957
2005,21856784928.5555
2006,26006845068.1543
2007,32214421786.3476
2008,34330505048.3925
2009,34896678266.342
2010,37028506134.5559
2011,18637541110.4777
2012,15672467970.7727
2013,16536236826.4074
2014,14926998051.7397
2015,15858887325.7755
2016,23642691705.9677
2017,36400242555.8255
2018,41839242990.7097
2019,44568837112.0669
2020,38972812936.6707
2021,39824388217.3615
2022,32143926008.4606
2023,33070180836.1374
2024,44921341018.4659
