year,value
2000,2.68380535348546
2001,2.26975720475956
2002,2.73723855000334
2003,4.50777636319304
2004,11.270619332052
2005,4.86939696871988
2006,7.64452644526434
2007,9.3189690579923
2008,18.3168316831684
2009,11.7634954386443
2010,11.2651882653185
2011,10.0649259874818
2012,7.11172943343083
2013,9.46971981064921
2014,10.0702154687481
2015,10.370490343517
2016,13.813606214829
2017,29.5066083940039
2018,14.4014657807422
2019,9.15279959324804
2020,5.04493288977539
2021,5.21404940513043
2022,13.8956609775178
2023,33.8847763115546
2024,28.2705899322083
2025,14.0735136645934
