year,value
2000,8.91960097425103
2001,11.2145133756357
2002,10.3000319450927
2003,6.32702594827893
2004,1.52690342781043
2005,6.52364099101764
2006,4.88079671780393
2007,-0.0776285947740796
2008,0.107853155649855
2009,0.710036320532945
2010,0.818721618042179
2011,-0.563878054302781
2012,-6.26271950290427
2013,3.29215715259611
2014,0.414129139682349
2015,1.54106846010719
2016,6.9220113553922
2017,-8.75819408123533
2018,-2.35870301322629
2019,2.19909578209049
2020,4.88781543118298
2021,4.36620669861811
2022,0.142669652322058
2023,-5.64166239964287
2024,-7.03099094109372
