year,value
1975,37.4062488222214
1976,32.8282074993288
1977,39.476729314608
1978,38.0355790292534
1979,34.4289066463724
1981,48.1298113023253
1982,40.5682223013894
1983,39.9022556390977
1984,37.8164556962025
1985,34.9222520107239
1986,33.6507936507937
1987,30.1029126213592
1988,30.6996753246753
1989,27.6948051948052
1990,23.0469728601253
1991,29.3928888888889
1992,32.6513299784328
1993,34.8311855670103
1994,36.9085714285714
1995,34.7676470588235
1996,28.6625980819529
1997,26.0060172997367
2002,24.349696489839
2003,25.4311377245509
2004,24.6404286008654
2005,24.2916620241411
2006,28.1389833252388
2007,27.1170918367347
2008,27.6239352317141
2009,26.9200729226636
2010,24.7838223106249
2011,21.9307417402086
2012,20.2282199796979
2013,21.4163083207912
2014,19.8767136150235
2015,20.9886247391464
