year,value
2000,75.8600411643634
2001,75.2718148870923
2002,73.7661652150963
2003,73.0299401197605
2004,71.6670100968473
2005,71.5506035283194
2006,70.6006151853651
2007,72.3952738990333
2008,72.3171412618649
2009,76.0986374976012
2010,74.5731808387204
2011,75.5670629421632
2012,80.7129635158536
2013,80.7729520533219
2014,82.9389671361502
2015,82.4297229837555
2016,83.0885066804458
2017,84.490823053147
2018,81.3745660280314
2019,79.8963545389564
2020,80.8227416051751
2021,82.9643859464814
2022,79.6850494102646
2023,78.9599621876046
2024,87.5810637404119
2025,93.3580353105943
