year,value
2000,16174959635.99
2001,16900269541.779
2002,15595505617.9775
2003,17500000000.0
2004,22240259740.2597
2005,27206127206.1272
2006,32173913043.4783
2007,39457092819.6147
2008,53800000000.0
2009,47205081669.6915
2010,46751361161.5245
2011,48537005163.5112
2012,45766666666.6667
2013,49085271317.8295
2014,43529411764.7059
2015,43423180592.9919
2016,34392638036.8098
2017,37289402173.913
2018,47225661226.7867
2019,53041002277.9043
2020,47872738615.0967
2021,44850223072.0204
2022,71927051671.7325
2023,75645996851.8977
2024,63713393301.1736
2025,72393571621.6233
