year,value
2000,22779979451.0495
2001,21590296495.9569
2002,19303370786.5169
2003,19576923076.9231
2004,23311688311.6883
2005,29237429237.4292
2006,33913043478.2609
2007,45429071803.8529
2008,62909090909.0909
2009,59764065335.7532
2010,58221415607.9855
2011,58261617900.1721
2012,67866666666.6667
2013,67364341085.2713
2014,69296987087.5179
2015,71347708894.8787
2016,66159509202.454
2017,69089673913.0435
2018,73331457512.6618
2019,78012528473.8041
2020,75433562071.1167
2021,81943913320.5864
2022,104389057750.76
2023,84507685809.5003
2024,90357257364.1562
2025,115107510878.37
