year,value
2000,99838543960.0763
2001,96684636118.5984
2002,85146067415.7303
2003,80288461538.4615
2004,78782467532.4675
2005,89660339660.3397
2006,107426086956.522
2007,130437828371.278
2008,162818181818.182
2009,189147005444.646
2010,218983666061.706
2011,235989672977.625
2012,279116666666.667
2013,288434108527.132
2014,305595408895.265
2015,329366576819.407
2016,332441717791.411
2017,248362771739.13
2018,262588632526.73
2019,318678815489.749
2020,383817841547.099
2021,424671765455.704
2022,476747720364.742
2023,395926071447.591
2024,389059910593.1
2025,365254630179.737
