year,value
2000,6.37000382991766
2001,3.53525197391507
2002,2.39020402675627
2003,3.19345473756772
2004,4.09207161019908
2005,4.4717444710621
2006,6.84383819369884
2007,7.08782742675582
2008,7.15628356711522
2009,4.67359980000663
2010,5.14723485746742
2011,1.76457194806041
2012,2.22619979818487
2013,2.18546605363386
2014,2.91591188052836
2015,4.37201907781687
2016,4.34664345601914
2017,4.18122099961562
2018,5.33110861887155
2019,5.55209307084222
2020,3.55016483883115
2021,3.29064601193245
2022,6.58784560870467
2023,3.76028052279247
2024,2.3991692678251
2025,4.39201068570188
