year,value
1980,-0.8
1981,-4.3
1982,-6.8
1983,-4.0
1984,-8.1
1985,-4.6
1986,-2.8
1987,-1.3
1988,-2.1
1989,-2.2
1990,-2.7
1991,3.4
1992,8.3
1993,4.4
1994,0.4
1995,0.6
1996,-0.3
1997,0.1
1998,-2.8
1999,-1.8
2000,-1.1
2001,0.0
2002,0.7
2003,2.3
2004,4.1
2005,3.1
2006,1.6
2007,1.7
2008,0.5
2009,-2.2
2010,-1.9
2011,-2.5
2012,-3.4
2013,-2.1
2014,-0.9
2015,-3.5
2016,-5.6
2017,-5.8
2018,-2.3
2019,-3.4
2020,-2.9
2021,-4.4
2022,-3.5
2023,-1.2
2024,-5.4
2025,-4.2
2026,-4.2
2027,-4.6
2028,-3.9
2029,-3.5
2030,-3.2
2031,-2.7
