year,value
1980,40.554
1981,41.706
1982,42.846
1983,44.015
1984,45.237
1985,46.545
1986,47.751
1987,48.8
1988,49.8
1989,50.9
1990,51.36
1991,52.423
1992,53.508
1993,55.2
1994,56.3
1995,57.6
1996,58.8
1997,60.1
1998,61.3
1999,62.6
2000,64.0
2001,65.3
2002,66.6
2003,68.0
2004,69.3
2005,70.7
2006,72.2
2007,73.6
2008,75.2
2009,76.9
2010,78.7
2011,80.5
2012,82.5
2013,84.6
2014,86.8
2015,89.0
2016,91.0
2017,95.2
2018,97.1
2019,98.9
2020,100.6
2021,102.1
2022,103.6
2023,105.2
2024,106.6
2025,107.9
2026,110.058
2027,112.259
2028,114.504
2029,116.794
2030,120.298
2031,125.11
