year,value
1980,23.523
1981,25.76
1982,30.479
1983,37.254
1984,41.888
1985,48.841
1986,54.076
1987,77.359
1988,92.53
1989,115.362
1990,96.087
1991,48.431
1992,44.168
1993,49.526
1994,54.55
1995,63.25
1996,71.118
1997,79.777
1998,89.189
1999,95.039
2000,104.752
2001,102.273
2002,90.261
2003,85.163
2004,82.855
2005,94.127
2006,112.902
2007,137.055
2008,170.797
2009,198.316
2010,230.024
2011,247.726
2012,294.482
2013,303.194
2014,321.634
2015,350.119
2016,351.443
2017,246.826
2018,263.156
2019,317.894
2020,382.525
2021,423.3
2022,475.231
2023,393.828
2024,383.105
2025,364.64
2026,429.645
2027,457.075
2028,508.47
2029,560.081
2030,610.982
2031,665.595
